detection,date,time
bottle,2024-05-17,17-18-27
bottle,2024-05-17,17-18-27
person,2024-05-17,17-18-27
bottle,2024-05-17,17-18-27
bottle,2024-05-17,17-18-27
person,2024-05-17,17-18-27
bottle,2024-05-17,17-18-27
bottle,2024-05-17,17-18-27
person,2024-05-17,17-18-27
bottle,2024-05-17,17-18-27
bottle,2024-05-17,17-18-27
person,2024-05-17,17-18-28
bottle,2024-05-17,17-18-28
bottle,2024-05-17,17-18-28
person,2024-05-17,17-18-28
bottle,2024-05-17,17-18-28
person,2024-05-17,17-18-28
bottle,2024-05-17,17-18-28
person,2024-05-17,17-18-28
bottle,2024-05-17,17-18-28
person,2024-05-17,17-18-28
bottle,2024-05-17,17-18-28
person,2024-05-17,17-18-28
bottle,2024-05-17,17-18-28
person,2024-05-17,17-18-29
bottle,2024-05-17,17-18-29
person,2024-05-17,17-18-29
bottle,2024-05-17,17-18-29
person,2024-05-17,17-18-29
bottle,2024-05-17,17-18-29
person,2024-05-17,17-18-29
bottle,2024-05-17,17-18-29
bottle,2024-05-17,17-18-29
bottle,2024-05-17,17-18-29
bottle,2024-05-17,17-18-30
bottle,2024-05-17,17-18-30
bottle,2024-05-17,17-18-30
bottle,2024-05-17,17-18-30
bottle,2024-05-17,17-18-30
bottle,2024-05-17,17-18-30
bottle,2024-05-17,17-18-31
bottle,2024-05-17,17-18-31
bottle,2024-05-17,17-18-31
bottle,2024-05-17,17-18-31
bottle,2024-05-17,17-18-31
bottle,2024-05-17,17-18-31
bottle,2024-05-17,17-18-31
bottle,2024-05-17,17-18-31
person,2024-05-17,17-18-31
bottle,2024-05-17,17-18-31
bottle,2024-05-17,17-18-31
bottle,2024-05-17,17-18-31
bottle,2024-05-17,17-18-32
bottle,2024-05-17,17-18-32
bottle,2024-05-17,17-18-32
bottle,2024-05-17,17-18-32
bottle,2024-05-17,17-18-32
bottle,2024-05-17,17-18-32
person,2024-05-17,17-18-32
bottle,2024-05-17,17-18-32
bottle,2024-05-17,17-18-33
bottle,2024-05-17,17-18-33
bottle,2024-05-17,17-18-33
chair,2024-05-17,17-18-33
person,2024-05-17,17-18-33
bottle,2024-05-17,17-18-33
person,2024-05-17,17-18-33
bottle,2024-05-17,17-18-33
bottle,2024-05-17,17-18-34
bottle,2024-05-17,17-18-34
person,2024-05-17,17-18-34
chair,2024-05-17,17-18-34
chair,2024-05-17,17-18-35
person,2024-05-17,17-18-35
person,2024-05-17,17-18-35
laptop,2024-05-17,17-18-35
laptop,2024-05-17,17-18-35
person,2024-05-17,17-18-35
person,2024-05-17,17-18-35
laptop,2024-05-17,17-18-35
person,2024-05-17,17-18-35
bottle,2024-05-17,17-18-35
bottle,2024-05-17,17-18-36
person,2024-05-17,17-18-36
person,2024-05-17,17-18-36
bottle,2024-05-17,17-18-36
bottle,2024-05-17,17-18-36
person,2024-05-17,17-18-36
bottle,2024-05-17,17-18-36
bottle,2024-05-17,17-18-36
chair,2024-05-17,17-18-36
person,2024-05-17,17-18-36
bottle,2024-05-17,17-18-36
person,2024-05-17,17-18-36
bottle,2024-05-17,17-18-36
person,2024-05-17,17-18-36
chair,2024-05-17,17-18-36
person,2024-05-17,17-18-37
bottle,2024-05-17,17-18-37
bottle,2024-05-17,17-18-37
person,2024-05-17,17-18-37
bottle,2024-05-17,17-18-37
person,2024-05-17,17-18-37
bottle,2024-05-17,17-18-37
person,2024-05-17,17-18-37
person,2024-05-17,17-18-37
bottle,2024-05-17,17-18-37
laptop,2024-05-17,17-18-37
